,smiles,Dissocation energy (nucleofuge),Dissociation energy (electrofuge),Electroaccepting power(w+),Electrodonating power (w-),Electronegativity (chi=-mu),Electronic chemical potential (mu),Electronic chemical potential (mu+),Electronic chemical potential (mu-),Electrophilicity index (w=omega),Global Dual Descriptor Deltaf+,Global Dual Descriptor Deltaf-,Hardness (eta),Hyperhardness (gamma),Net Electrophilicity,Softness (S)
367,Cc1cc(C(=O)N(C)C(C)C)cc(N)n1,0.0436581947446781,0.312736731714824,0.013,0.147,0.135,-0.135,-0.282,0.013,0.031,-0.589,0.589,0.295,0.268,0.16,3.389
368,CC(C)OC(=O)C1(C)COC(C(N)=O)(c2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccccc4)n3)[nH]2)OC1,0.0130827586945331,0.3280244497398965,0.0409999999999999,0.1989999999999999,0.157,-0.157,-0.276,-0.039,0.053,-0.7829999999999999,0.7829999999999999,0.236,0.2319999999999999,0.24,4.2360000000000015
369,CC1(n2ccc3c2CCCC3N)CCCOC1,0.0769898299579972,0.272790218509887,0.001,0.099,0.098,-0.098,-0.258,0.062,0.015,-0.833,0.833,0.32,0.291,0.1,3.127
370,Cc1c(C)c(C(Cl)Cl)c(C)c(C)c1C=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.0028296978075254,0.3753943260243157,0.077,0.264,0.186,-0.186,-0.297,-0.075,0.078,-0.721,0.721,0.222,0.206,0.341,4.512
371,CCCOc1cccc2cc([C@H](N)C(F)(F)F)ccc12,0.0280764821422004,0.3043946355809502,0.021,0.159,0.138,-0.138,-0.267,-0.009,0.037,-0.4,0.4,0.259,0.214,0.18,3.866
372,CC(CCCl)NCc1ccc(F)cc1Br,0.0344708642007643,0.3342350851875821,0.02,0.17,0.15,-0.15,-0.296,-0.004,0.039,-0.872,0.872,0.292,0.265,0.19,3.428
373,CC(N)c1csc(N(C)CCN2CCCC2)n1,0.0626575943094917,0.2739294474973323,0.003,0.109,0.106,-0.106,-0.255,0.044,0.019,-0.461,0.461,0.299,0.266,0.1119999999999999,3.341
374,O=C(Nc1ccccc1)c1cc(NS(=O)(=O)c2ccccc2)ccc1Cl,0.018631906343057,0.3438634075976037,0.036,0.1989999999999999,0.163,-0.163,-0.293,-0.032,0.051,-0.888,0.888,0.261,0.242,0.235,3.828
375,CC1OC(C)C(C(=O)N[C@@H]2CCCNC2)C1C,0.0672880089036242,0.3164116639323894,0.005,0.129,0.125,-0.125,-0.293,0.044,0.023,-0.855,0.855,0.3379999999999999,0.322,0.134,2.9610000000000003
376,Nc1c(NC(=O)/C=C/c2cccnc2)sc2c1CCC(OC(=O)N1CCC(O)C1)C2,0.0059901395146317,0.3067098428780165,0.051,0.201,0.15,-0.15,-0.25,-0.051,0.057,-0.857,0.857,0.1989999999999999,0.16,0.252,5.019
377,CN(C(C)(C)CO)S(=O)(=O)c1cccc(C(N)=S)c1,0.009371077154792,0.3539327218737333,0.053,0.225,0.172,-0.172,-0.292,-0.053,0.062,-0.7859999999999999,0.7859999999999999,0.239,0.2189999999999999,0.278,4.18
378,CC1CC(NCC(O)CN2CCOCC2)C1,0.0827227242173993,0.2985147440328454,0.001,0.109,0.108,-0.108,-0.282,0.066,0.017,-0.964,0.964,0.348,0.3289999999999999,0.11,2.8760000000000003
379,Cc1cc2c(cn1)N(C)C(C)N2,0.0516695469789709,0.2741499434303862,0.006,0.1169999999999999,0.111,-0.111,-0.252,0.03,0.022,-0.596,0.596,0.282,0.2319999999999999,0.123,3.547
380,CCC(C)NS(=O)(=O)c1ccc(C(=O)Nc2ccc(N3CCC(C)C3)cc2)cc1,0.0104000581757103,0.2986984906437238,0.04,0.184,0.144,-0.144,-0.249,-0.039,0.049,-0.88,0.88,0.21,0.135,0.2239999999999999,4.756
381,Nc1ccc(-c2nc3c(c(=O)[nH]2)CN(Cc2c[nH]c4cccc(Br)c24)CC3)cc1,0.0204326231296641,0.3087310555976775,0.0279999999999999,0.172,0.144,-0.144,-0.266,-0.022,0.043,-0.846,0.846,0.244,0.242,0.201,4.099
382,CCC1CCCCC1Nc1ncnc(OC)c1[N+](=O)[O-],0.0121640256401418,0.3669787312460908,0.05,0.228,0.177,-0.177,-0.306,-0.049,0.061,-0.892,0.892,0.256,0.225,0.278,3.901
383,CCOC(=O)N1CCN(C(=O)[C@@H](N)CCCCNC(=O)OCc2ccccc2)CC1.Cl,0.0543889968199693,0.3216668170035081,0.009,0.143,0.134,-0.134,-0.294,0.026,0.0279999999999999,-0.999,0.999,0.32,0.317,0.152,3.122
384,CCOCCN1CCNCC1C1CCCCN1Cc1cc(F)ccc1F,0.036639074209128,0.3030716599826267,0.015,0.148,0.133,-0.133,-0.271,0.004,0.032,-0.957,0.957,0.275,0.259,0.163,3.633
385,Nc1ccc(Br)cc1-c1nc2cc(Cl)c(F)cc2o1,0.0107675513974669,0.3350803195976222,0.046,0.208,0.162,-0.162,-0.2789999999999999,-0.046,0.0559999999999999,-0.6,0.6,0.233,0.204,0.255,4.292
386,CCCNC(=O)CNCc1nc2ccccc2n1CC,0.0471126310291897,0.3079225705098131,0.01,0.141,0.13,-0.13,-0.2789999999999999,0.019,0.0289999999999999,-0.392,0.392,0.298,0.294,0.151,3.3560000000000003
387,COc1cc(F)c([C@@H]2CNC(=O)[C@H]2N=C(NO)c2ccc(Cl)cc2F)c(F)c1,0.0261655173890663,0.3422096880996993,0.0279999999999999,0.186,0.158,-0.158,-0.297,-0.019,0.045,-0.813,0.813,0.2789999999999999,0.275,0.214,3.5860000000000003
388,CC1CCCC(N)(C(=O)Cc2ccc(C(F)(F)F)cc2)C1,0.033552131146373,0.3547412069615977,0.024,0.184,0.161,-0.161,-0.312,-0.009,0.043,-0.698,0.698,0.303,0.287,0.208,3.298
389,O=C1Nc2ccc(Br)cc2C1NCCc1ccccc1F,0.0320454089371711,0.3310011448361245,0.022,0.171,0.149,-0.149,-0.292,-0.0069999999999999,0.039,-0.573,0.573,0.285,0.273,0.193,3.514
390,NC(=O)C(NC1CCCC1)c1ccc(I)cc1,0.0381090470961542,0.3233940351457639,0.017,0.159,0.143,-0.143,-0.289,0.003,0.035,-0.794,0.794,0.292,0.28,0.176,3.427
391,Cc1cnccc1C(N)C(C)O,0.0503465713806473,0.3412542057231322,0.012,0.158,0.145,-0.145,-0.309,0.018,0.032,-0.546,0.546,0.327,0.322,0.17,3.059
392,O=[N+]([O-])c1cc(Cl)ccc1NC1CC1,0.0116862844518582,0.3445616447189412,0.047,0.213,0.166,-0.166,-0.287,-0.046,0.057,-0.7120000000000001,0.7120000000000001,0.242,0.18,0.26,4.138999999999999
393,Fc1ccc(Cc2nc3c(c(-c4ccc(F)cc4)n2)CNCC3)cc1,0.022784579748906,0.3508457788109782,0.033,0.1969999999999999,0.1639999999999999,-0.1639999999999999,-0.302,-0.026,0.049,-0.925,0.925,0.276,0.268,0.2289999999999999,3.62
394,CCCOC(=O)c1cccc(Nc2ncnc3sc4c(c23)CCC4)c1,0.0201753778744345,0.3179551354637669,0.03,0.179,0.149,-0.149,-0.273,-0.024,0.044,-0.645,0.645,0.249,0.217,0.209,4.013999999999999
395,CCNCc1cc(S(=O)(=O)N(CCOC)C(C)C)c(Br)s1,0.0178234212551926,0.296640528601887,0.0289999999999999,0.1689999999999999,0.139,-0.139,-0.254,-0.024,0.042,-0.852,0.852,0.23,0.178,0.198,4.349
